# File: WEO2022_elec_params.csv,,,,,,,
# Title: Power technology assumptions of WEO2022,,,,,,,
# Units: in file,,,,,,,
# Source: WEO 2022 (https://www.iea.org/data-and-statistics/data-product/world-energy-outlook-2022-free-dataset#tables-for-scenario-projections),,,,,,,
# Comments: WEO technologies are mapped to GCAM technologies in energy/mappings/weo_elec_mapping.csv. Regions are mapped in energy/mappings/weo_elec_mapping.csv,,,,,,,
# Column types: cnnncccc,,,,,,,
# ----------,,,,,,,
region,2021,2030,2050,scenario,Unit,technology,subsector
European Union,80,75,55,Stated.Policies,"Annual O&M Costs
(USD/kW)",CCGT + CCS,fossil fuels equipped with ccus
United States,80,75,55,Stated.Policies,"Annual O&M Costs
(USD/kW)",CCGT + CCS,fossil fuels equipped with ccus
Japan,80,80,60,Stated.Policies,"Annual O&M Costs
(USD/kW)",CCGT + CCS,fossil fuels equipped with ccus
Russia,95,90,65,Stated.Policies,"Annual O&M Costs
(USD/kW)",CCGT + CCS,fossil fuels equipped with ccus
China,70,70,45,Stated.Policies,"Annual O&M Costs
(USD/kW)",CCGT + CCS,fossil fuels equipped with ccus
India,80,80,55,Stated.Policies,"Annual O&M Costs
(USD/kW)",CCGT + CCS,fossil fuels equipped with ccus
Middle East,100,95,70,Stated.Policies,"Annual O&M Costs
(USD/kW)",CCGT + CCS,fossil fuels equipped with ccus
Africa,85,85,60,Stated.Policies,"Annual O&M Costs
(USD/kW)",CCGT + CCS,fossil fuels equipped with ccus
Brazil,NA,NA,NA,Stated.Policies,"Annual O&M Costs
(USD/kW)",CCGT + CCS,fossil fuels equipped with ccus
European Union,0.36,0.37,0.37,Stated.Policies,"Efficiency
(gross, LHV)",Coal + CCS,fossil fuels equipped with ccus
United States,0.36,0.37,0.37,Stated.Policies,"Efficiency
(gross, LHV)",Coal + CCS,fossil fuels equipped with ccus
Japan,0.36,0.37,0.37,Stated.Policies,"Efficiency
(gross, LHV)",Coal + CCS,fossil fuels equipped with ccus
Russia,0.36,0.37,0.37,Stated.Policies,"Efficiency
(gross, LHV)",Coal + CCS,fossil fuels equipped with ccus
China,0.35,0.36,0.36,Stated.Policies,"Efficiency
(gross, LHV)",Coal + CCS,fossil fuels equipped with ccus
India,0.31,0.32,0.31,Stated.Policies,"Efficiency
(gross, LHV)",Coal + CCS,fossil fuels equipped with ccus
Middle East,NA,NA,NA,Stated.Policies,"Efficiency
(gross, LHV)",Coal + CCS,fossil fuels equipped with ccus
Africa,0.32,0.33,0.33,Stated.Policies,"Efficiency
(gross, LHV)",Coal + CCS,fossil fuels equipped with ccus
Brazil,NA,NA,NA,Stated.Policies,"Efficiency
(gross, LHV)",Coal + CCS,fossil fuels equipped with ccus
European Union,0.35,0.36,0.39,Stated.Policies,"Efficiency
(gross, LHV)",IGCC + CCS,fossil fuels equipped with ccus
United States,0.35,0.36,0.39,Stated.Policies,"Efficiency
(gross, LHV)",IGCC + CCS,fossil fuels equipped with ccus
Japan,0.35,0.36,0.39,Stated.Policies,"Efficiency
(gross, LHV)",IGCC + CCS,fossil fuels equipped with ccus
Russia,0.35,0.36,0.39,Stated.Policies,"Efficiency
(gross, LHV)",IGCC + CCS,fossil fuels equipped with ccus
China,0.34,0.35,0.38,Stated.Policies,"Efficiency
(gross, LHV)",IGCC + CCS,fossil fuels equipped with ccus
India,0.32,0.33,0.36,Stated.Policies,"Efficiency
(gross, LHV)",IGCC + CCS,fossil fuels equipped with ccus
Middle East,NA,NA,NA,Stated.Policies,"Efficiency
(gross, LHV)",IGCC + CCS,fossil fuels equipped with ccus
Africa,0.32,0.32,0.35,Stated.Policies,"Efficiency
(gross, LHV)",IGCC + CCS,fossil fuels equipped with ccus
Brazil,NA,NA,NA,Stated.Policies,"Efficiency
(gross, LHV)",IGCC + CCS,fossil fuels equipped with ccus
European Union,0.51,0.52,0.52,Stated.Policies,"Efficiency
(gross, LHV)",CCGT + CCS,fossil fuels equipped with ccus
United States,0.51,0.52,0.52,Stated.Policies,"Efficiency
(gross, LHV)",CCGT + CCS,fossil fuels equipped with ccus
Japan,0.51,0.52,0.52,Stated.Policies,"Efficiency
(gross, LHV)",CCGT + CCS,fossil fuels equipped with ccus
Russia,0.49,0.5,0.5,Stated.Policies,"Efficiency
(gross, LHV)",CCGT + CCS,fossil fuels equipped with ccus
China,0.49,0.5,0.5,Stated.Policies,"Efficiency
(gross, LHV)",CCGT + CCS,fossil fuels equipped with ccus
India,0.48,0.49,0.49,Stated.Policies,"Efficiency
(gross, LHV)",CCGT + CCS,fossil fuels equipped with ccus
Middle East,0.49,0.5,0.5,Stated.Policies,"Efficiency
(gross, LHV)",CCGT + CCS,fossil fuels equipped with ccus
Africa,0.5,0.51,0.51,Stated.Policies,"Efficiency
(gross, LHV)",CCGT + CCS,fossil fuels equipped with ccus
Brazil,NA,NA,NA,Stated.Policies,"Efficiency
(gross, LHV)",CCGT + CCS,fossil fuels equipped with ccus
European Union,NA,3600,3200,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",Coal + CCS,fossil fuels equipped with ccus
United States,NA,3650,3250,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",Coal + CCS,fossil fuels equipped with ccus
Japan,NA,3950,3550,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",Coal + CCS,fossil fuels equipped with ccus
Russia,NA,3450,3100,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",Coal + CCS,fossil fuels equipped with ccus
China,NA,1900,1600,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",Coal + CCS,fossil fuels equipped with ccus
India,NA,2450,2100,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",Coal + CCS,fossil fuels equipped with ccus
Middle East,NA,NA,NA,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",Coal + CCS,fossil fuels equipped with ccus
Africa,NA,3000,2600,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",Coal + CCS,fossil fuels equipped with ccus
Brazil,NA,NA,NA,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",Coal + CCS,fossil fuels equipped with ccus
European Union,NA,4200,3650,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",IGCC + CCS,fossil fuels equipped with ccus
United States,NA,4200,3650,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",IGCC + CCS,fossil fuels equipped with ccus
Japan,NA,4550,4000,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",IGCC + CCS,fossil fuels equipped with ccus
Russia,NA,4000,3450,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",IGCC + CCS,fossil fuels equipped with ccus
China,NA,2250,1850,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",IGCC + CCS,fossil fuels equipped with ccus
India,NA,2900,2450,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",IGCC + CCS,fossil fuels equipped with ccus
Middle East,NA,NA,NA,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",IGCC + CCS,fossil fuels equipped with ccus
Africa,NA,3500,3100,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",IGCC + CCS,fossil fuels equipped with ccus
Brazil,NA,NA,NA,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",IGCC + CCS,fossil fuels equipped with ccus
European Union,NA,2000,1700,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",CCGT + CCS,fossil fuels equipped with ccus
United States,NA,1950,1700,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",CCGT + CCS,fossil fuels equipped with ccus
Japan,NA,2050,1800,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",CCGT + CCS,fossil fuels equipped with ccus
Russia,NA,1700,1450,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",CCGT + CCS,fossil fuels equipped with ccus
China,NA,1250,1100,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",CCGT + CCS,fossil fuels equipped with ccus
India,NA,1450,1250,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",CCGT + CCS,fossil fuels equipped with ccus
Middle East,NA,1750,1450,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",CCGT + CCS,fossil fuels equipped with ccus
Africa,NA,1550,1300,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",CCGT + CCS,fossil fuels equipped with ccus
Brazil,NA,NA,NA,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",CCGT + CCS,fossil fuels equipped with ccus
European Union,NA,110,95,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Coal + CCS,fossil fuels equipped with ccus
United States,NA,110,100,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Coal + CCS,fossil fuels equipped with ccus
Japan,NA,120,105,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Coal + CCS,fossil fuels equipped with ccus
Russia,NA,120,110,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Coal + CCS,fossil fuels equipped with ccus
China,NA,75,65,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Coal + CCS,fossil fuels equipped with ccus
India,NA,95,85,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Coal + CCS,fossil fuels equipped with ccus
Middle East,NA,NA,NA,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Coal + CCS,fossil fuels equipped with ccus
Africa,NA,110,95,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Coal + CCS,fossil fuels equipped with ccus
Brazil,NA,NA,NA,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Coal + CCS,fossil fuels equipped with ccus
European Union,NA,145,125,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",IGCC + CCS,fossil fuels equipped with ccus
United States,NA,145,130,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",IGCC + CCS,fossil fuels equipped with ccus
Japan,NA,160,140,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",IGCC + CCS,fossil fuels equipped with ccus
Russia,NA,140,120,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",IGCC + CCS,fossil fuels equipped with ccus
China,NA,100,80,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",IGCC + CCS,fossil fuels equipped with ccus
India,NA,130,110,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",IGCC + CCS,fossil fuels equipped with ccus
Middle East,NA,NA,NA,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",IGCC + CCS,fossil fuels equipped with ccus
Africa,NA,150,135,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",IGCC + CCS,fossil fuels equipped with ccus
Brazil,NA,NA,NA,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",IGCC + CCS,fossil fuels equipped with ccus
European Union,NA,50,45,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",CCGT + CCS,fossil fuels equipped with ccus
United States,NA,50,45,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",CCGT + CCS,fossil fuels equipped with ccus
Japan,NA,50,45,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",CCGT + CCS,fossil fuels equipped with ccus
Russia,NA,60,50,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",CCGT + CCS,fossil fuels equipped with ccus
China,NA,40,35,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",CCGT + CCS,fossil fuels equipped with ccus
India,NA,50,45,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",CCGT + CCS,fossil fuels equipped with ccus
Middle East,NA,60,50,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",CCGT + CCS,fossil fuels equipped with ccus
Africa,NA,55,45,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",CCGT + CCS,fossil fuels equipped with ccus
Brazil,NA,NA,NA,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",CCGT + CCS,fossil fuels equipped with ccus
European Union,NA,0.38,0.39,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Coal + CCS,fossil fuels equipped with ccus
United States,NA,0.38,0.39,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Coal + CCS,fossil fuels equipped with ccus
Japan,NA,0.38,0.39,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Coal + CCS,fossil fuels equipped with ccus
Russia,NA,0.38,0.39,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Coal + CCS,fossil fuels equipped with ccus
China,NA,0.37,0.38,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Coal + CCS,fossil fuels equipped with ccus
India,NA,0.33,0.34,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Coal + CCS,fossil fuels equipped with ccus
Middle East,NA,NA,NA,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Coal + CCS,fossil fuels equipped with ccus
Africa,NA,0.34,0.35,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Coal + CCS,fossil fuels equipped with ccus
Brazil,NA,NA,NA,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Coal + CCS,fossil fuels equipped with ccus
European Union,NA,0.4,0.42,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",IGCC + CCS,fossil fuels equipped with ccus
United States,NA,0.4,0.42,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",IGCC + CCS,fossil fuels equipped with ccus
Japan,NA,0.4,0.42,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",IGCC + CCS,fossil fuels equipped with ccus
Russia,NA,0.4,0.42,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",IGCC + CCS,fossil fuels equipped with ccus
China,NA,0.39,0.42,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",IGCC + CCS,fossil fuels equipped with ccus
India,NA,0.37,0.4,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",IGCC + CCS,fossil fuels equipped with ccus
Middle East,NA,NA,NA,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",IGCC + CCS,fossil fuels equipped with ccus
Africa,NA,0.36,0.38,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",IGCC + CCS,fossil fuels equipped with ccus
Brazil,NA,NA,NA,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",IGCC + CCS,fossil fuels equipped with ccus
European Union,NA,0.53,0.54,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",CCGT + CCS,fossil fuels equipped with ccus
United States,NA,0.53,0.54,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",CCGT + CCS,fossil fuels equipped with ccus
Japan,NA,0.53,0.54,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",CCGT + CCS,fossil fuels equipped with ccus
Russia,NA,0.51,0.52,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",CCGT + CCS,fossil fuels equipped with ccus
China,NA,0.51,0.52,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",CCGT + CCS,fossil fuels equipped with ccus
India,NA,0.5,0.51,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",CCGT + CCS,fossil fuels equipped with ccus
Middle East,NA,0.51,0.52,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",CCGT + CCS,fossil fuels equipped with ccus
Africa,NA,0.52,0.53,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",CCGT + CCS,fossil fuels equipped with ccus
Brazil,NA,NA,NA,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",CCGT + CCS,fossil fuels equipped with ccus
European Union,6600,5100,4500,Stated.Policies,"Capital costs
(USD/kW)",Nuclear,nuclear
United States,5000,4800,4500,Stated.Policies,"Capital costs
(USD/kW)",Nuclear,nuclear
Japan,4200,4000,4000,Stated.Policies,"Capital costs
(USD/kW)",Nuclear,nuclear
Russia,3800,3800,3800,Stated.Policies,"Capital costs
(USD/kW)",Nuclear,nuclear
China,2800,2800,2500,Stated.Policies,"Capital costs
(USD/kW)",Nuclear,nuclear
India,2800,2800,2800,Stated.Policies,"Capital costs
(USD/kW)",Nuclear,nuclear
Middle East,3500,3500,3500,Stated.Policies,"Capital costs
(USD/kW)",Nuclear,nuclear
Africa,4000,4000,4000,Stated.Policies,"Capital costs
(USD/kW)",Nuclear,nuclear
Brazil,4000,4000,4000,Stated.Policies,"Capital costs
(USD/kW)",Nuclear,nuclear
European Union,160,160,160,Stated.Policies,"Annual O&M Costs
(USD/kW)",Nuclear,nuclear
United States,175,175,175,Stated.Policies,"Annual O&M Costs
(USD/kW)",Nuclear,nuclear
Japan,225,225,225,Stated.Policies,"Annual O&M Costs
(USD/kW)",Nuclear,nuclear
Russia,160,160,160,Stated.Policies,"Annual O&M Costs
(USD/kW)",Nuclear,nuclear
China,120,120,120,Stated.Policies,"Annual O&M Costs
(USD/kW)",Nuclear,nuclear
India,140,140,140,Stated.Policies,"Annual O&M Costs
(USD/kW)",Nuclear,nuclear
Middle East,160,160,160,Stated.Policies,"Annual O&M Costs
(USD/kW)",Nuclear,nuclear
Africa,170,170,170,Stated.Policies,"Annual O&M Costs
(USD/kW)",Nuclear,nuclear
Brazil,170,170,170,Stated.Policies,"Annual O&M Costs
(USD/kW)",Nuclear,nuclear
European Union,0.33,0.33,0.33,Stated.Policies,"Efficiency
(gross, LHV)",Nuclear,nuclear
United States,0.33,0.33,0.33,Stated.Policies,"Efficiency
(gross, LHV)",Nuclear,nuclear
Japan,0.33,0.33,0.33,Stated.Policies,"Efficiency
(gross, LHV)",Nuclear,nuclear
Russia,0.33,0.33,0.33,Stated.Policies,"Efficiency
(gross, LHV)",Nuclear,nuclear
China,0.33,0.33,0.33,Stated.Policies,"Efficiency
(gross, LHV)",Nuclear,nuclear
India,0.33,0.33,0.33,Stated.Policies,"Efficiency
(gross, LHV)",Nuclear,nuclear
Middle East,0.33,0.33,0.33,Stated.Policies,"Efficiency
(gross, LHV)",Nuclear,nuclear
Africa,0.33,0.33,0.33,Stated.Policies,"Efficiency
(gross, LHV)",Nuclear,nuclear
Brazil,0.33,0.33,0.33,Stated.Policies,"Efficiency
(gross, LHV)",Nuclear,nuclear
European Union,NA,5100,4500,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",Nuclear,nuclear
United States,NA,4800,4500,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",Nuclear,nuclear
Japan,NA,4000,4000,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",Nuclear,nuclear
Russia,NA,3800,3800,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",Nuclear,nuclear
China,NA,2800,2500,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",Nuclear,nuclear
India,NA,2800,2800,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",Nuclear,nuclear
Middle East,NA,3500,3500,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",Nuclear,nuclear
Africa,NA,4000,4000,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",Nuclear,nuclear
Brazil,NA,4000,4000,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",Nuclear,nuclear
European Union,NA,160,160,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Nuclear,nuclear
United States,NA,175,175,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Nuclear,nuclear
Japan,NA,225,225,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Nuclear,nuclear
Russia,NA,160,160,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Nuclear,nuclear
China,NA,120,120,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Nuclear,nuclear
India,NA,140,140,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Nuclear,nuclear
Middle East,NA,160,160,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Nuclear,nuclear
Africa,NA,170,170,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Nuclear,nuclear
Brazil,NA,170,170,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Nuclear,nuclear
European Union,NA,0.33,0.33,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Nuclear,nuclear
United States,NA,0.33,0.33,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Nuclear,nuclear
Japan,NA,0.33,0.33,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Nuclear,nuclear
Russia,NA,0.33,0.33,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Nuclear,nuclear
China,NA,0.33,0.33,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Nuclear,nuclear
India,NA,0.33,0.33,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Nuclear,nuclear
Middle East,NA,0.33,0.33,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Nuclear,nuclear
Africa,NA,0.33,0.33,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Nuclear,nuclear
Brazil,NA,0.33,0.33,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Nuclear,nuclear
European Union,810,530,410,Stated.Policies,"Capital costs
(USD/kW)",Solar photovoltaics - Large scale unit,renewables
United States,1090,710,510,Stated.Policies,"Capital costs
(USD/kW)",Solar photovoltaics - Large scale unit,renewables
Japan,1690,1170,900,Stated.Policies,"Capital costs
(USD/kW)",Solar photovoltaics - Large scale unit,renewables
Russia,1700,1140,830,Stated.Policies,"Capital costs
(USD/kW)",Solar photovoltaics - Large scale unit,renewables
China,630,410,300,Stated.Policies,"Capital costs
(USD/kW)",Solar photovoltaics - Large scale unit,renewables
India,590,380,270,Stated.Policies,"Capital costs
(USD/kW)",Solar photovoltaics - Large scale unit,renewables
Middle East,1110,700,490,Stated.Policies,"Capital costs
(USD/kW)",Solar photovoltaics - Large scale unit,renewables
Africa,1240,780,560,Stated.Policies,"Capital costs
(USD/kW)",Solar photovoltaics - Large scale unit,renewables
Brazil,820,510,370,Stated.Policies,"Capital costs
(USD/kW)",Solar photovoltaics - Large scale unit,renewables
European Union,1120,760,600,Stated.Policies,"Capital costs
(USD/kW)",Solar photovoltaics - Buildings,renewables
United States,3380,2200,1590,Stated.Policies,"Capital costs
(USD/kW)",Solar photovoltaics - Buildings,renewables
Japan,1670,1180,940,Stated.Policies,"Capital costs
(USD/kW)",Solar photovoltaics - Buildings,renewables
Russia,2190,1480,1090,Stated.Policies,"Capital costs
(USD/kW)",Solar photovoltaics - Buildings,renewables
China,700,460,340,Stated.Policies,"Capital costs
(USD/kW)",Solar photovoltaics - Buildings,renewables
India,650,410,290,Stated.Policies,"Capital costs
(USD/kW)",Solar photovoltaics - Buildings,renewables
Middle East,1820,1130,780,Stated.Policies,"Capital costs
(USD/kW)",Solar photovoltaics - Buildings,renewables
Africa,1730,1050,730,Stated.Policies,"Capital costs
(USD/kW)",Solar photovoltaics - Buildings,renewables
Brazil,640,390,280,Stated.Policies,"Capital costs
(USD/kW)",Solar photovoltaics - Buildings,renewables
European Union,1590,1510,1450,Stated.Policies,"Capital costs
(USD/kW)",Wind onshore,renewables
United States,1380,1310,1250,Stated.Policies,"Capital costs
(USD/kW)",Wind onshore,renewables
Japan,3130,2940,2810,Stated.Policies,"Capital costs
(USD/kW)",Wind onshore,renewables
Russia,1580,1470,1390,Stated.Policies,"Capital costs
(USD/kW)",Wind onshore,renewables
China,1160,1090,1050,Stated.Policies,"Capital costs
(USD/kW)",Wind onshore,renewables
India,930,880,830,Stated.Policies,"Capital costs
(USD/kW)",Wind onshore,renewables
Middle East,1950,1810,1700,Stated.Policies,"Capital costs
(USD/kW)",Wind onshore,renewables
Africa,1810,1700,1600,Stated.Policies,"Capital costs
(USD/kW)",Wind onshore,renewables
Brazil,1150,1090,1040,Stated.Policies,"Capital costs
(USD/kW)",Wind onshore,renewables
European Union,3040,2000,1500,Stated.Policies,"Capital costs
(USD/kW)",Wind offshore,renewables
United States,4040,2460,1820,Stated.Policies,"Capital costs
(USD/kW)",Wind offshore,renewables
Japan,5560,3440,2540,Stated.Policies,"Capital costs
(USD/kW)",Wind offshore,renewables
Russia,4600,2940,2160,Stated.Policies,"Capital costs
(USD/kW)",Wind offshore,renewables
China,2860,1840,1380,Stated.Policies,"Capital costs
(USD/kW)",Wind offshore,renewables
India,2780,1820,1300,Stated.Policies,"Capital costs
(USD/kW)",Wind offshore,renewables
Middle East,4400,2860,2060,Stated.Policies,"Capital costs
(USD/kW)",Wind offshore,renewables
Africa,4260,2820,1980,Stated.Policies,"Capital costs
(USD/kW)",Wind offshore,renewables
Brazil,4440,2900,2100,Stated.Policies,"Capital costs
(USD/kW)",Wind offshore,renewables
European Union,2650,2650,2650,Stated.Policies,"Capital costs
(USD/kW)",Hydropower - large-scale unit,renewables
United States,2700,2700,2700,Stated.Policies,"Capital costs
(USD/kW)",Hydropower - large-scale unit,renewables
Japan,2400,2400,2400,Stated.Policies,"Capital costs
(USD/kW)",Hydropower - large-scale unit,renewables
Russia,2050,2050,2050,Stated.Policies,"Capital costs
(USD/kW)",Hydropower - large-scale unit,renewables
China,1600,1600,1600,Stated.Policies,"Capital costs
(USD/kW)",Hydropower - large-scale unit,renewables
India,2000,2000,2000,Stated.Policies,"Capital costs
(USD/kW)",Hydropower - large-scale unit,renewables
Middle East,2150,2150,2150,Stated.Policies,"Capital costs
(USD/kW)",Hydropower - large-scale unit,renewables
Africa,2100,2100,2100,Stated.Policies,"Capital costs
(USD/kW)",Hydropower - large-scale unit,renewables
Brazil,2100,2100,2100,Stated.Policies,"Capital costs
(USD/kW)",Hydropower - large-scale unit,renewables
European Union,3900,3900,3900,Stated.Policies,"Capital costs
(USD/kW)",Hydropower - small-scale unit,renewables
United States,4050,4050,4050,Stated.Policies,"Capital costs
(USD/kW)",Hydropower - small-scale unit,renewables
Japan,3550,3550,3550,Stated.Policies,"Capital costs
(USD/kW)",Hydropower - small-scale unit,renewables
Russia,3500,3500,3500,Stated.Policies,"Capital costs
(USD/kW)",Hydropower - small-scale unit,renewables
China,2000,2000,2000,Stated.Policies,"Capital costs
(USD/kW)",Hydropower - small-scale unit,renewables
India,3050,3050,3050,Stated.Policies,"Capital costs
(USD/kW)",Hydropower - small-scale unit,renewables
Middle East,3400,3400,3400,Stated.Policies,"Capital costs
(USD/kW)",Hydropower - small-scale unit,renewables
Africa,3300,3300,3250,Stated.Policies,"Capital costs
(USD/kW)",Hydropower - small-scale unit,renewables
Brazil,3350,3350,3350,Stated.Policies,"Capital costs
(USD/kW)",Hydropower - small-scale unit,renewables
European Union,2400,2350,2300,Stated.Policies,"Capital costs
(USD/kW)",Bioenergy - Large scale unit,renewables
United States,2500,2450,2350,Stated.Policies,"Capital costs
(USD/kW)",Bioenergy - Large scale unit,renewables
Japan,2350,2300,2250,Stated.Policies,"Capital costs
(USD/kW)",Bioenergy - Large scale unit,renewables
Russia,2250,2200,2100,Stated.Policies,"Capital costs
(USD/kW)",Bioenergy - Large scale unit,renewables
China,1600,1550,1500,Stated.Policies,"Capital costs
(USD/kW)",Bioenergy - Large scale unit,renewables
India,2150,2100,2050,Stated.Policies,"Capital costs
(USD/kW)",Bioenergy - Large scale unit,renewables
